Weekly Deaths,Weekly Cases,PercentOneDose,PercentCompleted,PercentFirstBooster,Administered,PeopleOneOrMore,PercentSeniorBooster
10129.0,1181626.0,62.3,54.4,0.9,379885592,206735481,0.5
10843.0,1045657.0,62.9,55.1,1.2,384802299,208875574,0.6
13825.0,1086670.0,63.6,55.9,1.5,390040071,211142308,0.8
14353.0,921018.0,64.2,56.6,1.7,394701014,212984871,1.0
14557.0,801384.0,64.7,57.2,2.7,400286429,214728905,0.9
12651.0,706056.0,65.2,57.8,4.3,406946179,216392717,0.8
11186.0,618676.0,65.6,58.3,5.8,412826357,217870885,0.8
11977.0,533190.0,66.0,58.7,7.1,418141442,219231135,0.8
9370.0,505044.0,66.5,59.1,9.5,425637578,220807663,0.8
8555.0,504145.0,67.0,59.5,12.6,434933937,222559640,0.8
8293.0,538283.0,67.9,59.8,15.6,444813048,225286449,0.8
8284.0,614951.0,68.9,60.1,18.5,455234849,228777604,0.8
8236.0,669796.0,69.9,60.4,21.9,466423958,232018805,0.8
7322.0,616394.0,70.4,60.9,23.9,474171988,233860965,0.8
11326.0,844337.0,71.2,61.7,27.3,487011443,236515639,0.8
9686.0,840143.0,71.9,62.3,30.3,498269417,238880283,0.8
11768.0,1167093.0,72.7,62.7,33.5,509254549,241443080,0.8
9381.0,2160731.0,73.3,63.0,35.5,516700460,243326855,0.8
9523.0,4144938.0,73.9,63.4,37.3,523820961,245216524,0.8
12076.0,5489860.0,74.5,63.8,39.4,532523597,247456745,0.8
14401.0,5589403.0,75.1,64.1,41.2,539630858,249319876,0.8
17675.0,4401234.0,75.5,64.4,42.4,545207423,250756791,0.9
17299.0,2692886.0,75.9,64.7,43.3,549748283,251888888,0.9
16128.0,1482175.0,76.1,65.0,43.8,553157166,252744602,1.0
14920.0,924965.0,76.3,65.2,44.2,556064267,253483983,1.0
12631.0,547613.0,76.5,65.4,44.6,558534694,254102352,1.1
10556.0,367716.0,76.7,65.6,44.9,560571488,254614257,1.2
9560.0,254708.0,76.8,65.7,45.1,562109987,255013763,1.2
8080.0,213129.0,76.9,65.8,45.3,563421788,255355917,1.3
