Date,Weekly Deaths,Geography,Comment
2022-10-26,2240,United States,Oct 29 2022
2022-11-02,2242,United States,Nov  5 2022
2022-11-09,2192,United States,Nov 12 2022
2022-11-16,2249,United States,Nov 19 2022
2022-11-23,2489,United States,Nov 26 2022
2022-11-30,2579,United States,Dec  3 2022
2022-12-07,3019,United States,Dec 10 2022
2022-12-14,3170,United States,Dec 17 2022
2022-12-21,3300,United States,Dec 24 2022
2022-12-28,3643,United States,Dec 31 2022
2023-01-04,3838,United States,Jan  7 2023
2023-01-11,3656,United States,Jan 14 2023
2023-01-18,3211,United States,Jan 21 2023
2023-01-25,2880,United States,Jan 28 2023
2023-02-01,2608,United States,Feb  4 2023
2023-02-08,2317,United States,Feb 11 2023
2023-02-15,2068,United States,Feb 18 2023
2023-02-22,2125,United States,Feb 25 2023
2023-03-01,1962,United States,Mar  4 2023
2023-03-08,1814,United States,Mar 11 2023
2023-03-15,1720,United States,Mar 18 2023
2023-03-22,1606,United States,Mar 25 2023
2023-03-29,1405,United States,Apr  1 2023
2023-04-05,1323,United States,Apr  8 2023
2023-04-12,1169,United States,Apr 15 2023
2023-04-19,1132,United States,Apr 22 2023
2023-04-26,949,United States,Apr 29 2023
2023-05-03,778,United States,May  6 2023
2023-05-10,570,United States,May 13 2023
2023-05-17,247,United States,May 20 2023
